Bench,Mode,Frequency,Prefetch,Wait states,Energy,Duration,Energy (IT adjusted),Duration (IT adjusted),HW Cycles (IT adjusted),Avg power,Avg current,Avg voltage,Benchmark,Executed insns (no MULS),MULS insns,Taken branches,RAM data reads,RAM insn reads,RAM writes,Flash data reads,Flash insn reads,Flash writes,BL insns,BL word-aligned,PUSH/POP PC/LR
aha-compress,0,48000000,1,1,0.0761583492,2.03399,0.0761583492,2.03399,9.76315e+07,0.0374428944,0.0123368805,3.0351013949,aha-compress,64561161,0,9052161,1646592,0,1650688,958465,36368388,0,303105,147456,299008
aha-mont64,0,48000000,1,1,0.0963352491,2.38579,0.0963352491,2.38579,114517920,0.0403788190,0.0133097649,3.0338086577,aha-mont64,77611017,1081344,4521985,13213696,0,6447104,49153,42037252,0,270337,151552,266240
bs,0,48000000,1,1,0.0004787254,0.01311,0.0004787254,0.01311,629280,0.0365067856,0.0120499741,3.0359935868,bs,274441,0,69633,49152,0,32768,4097,184324,0,12289,4096,8192
bubblesort,0,48000000,1,1,0.3687267947,8.82577,0.3687267947,8.82577,423636960,0.0417784131,0.0137750218,3.0329206961,bubblesort,274706441,0,22339585,41398272,0,40996864,12289,148123652,0,12289,4096,8192
cnt,0,48000000,1,1,0.0429656393,1.14867,0.0429656393,1.14867,5.51362e+07,0.0374047937,0.0123204058,3.0360697820,cnt,31150089,409600,5763073,1699840,0,1724416,847873,19382276,0,843777,8192,430080
compress,0,48000000,1,1,0.0294311579,0.75595,0.0294311579,0.75595,36285600,0.0389325061,0.0128222979,3.0364419462,compress,17022985,0,1925121,2707456,0,3993600,2740225,9474052,0,221185,8192,217088
cover,0,48000000,1,1,0.0177276588,0.47833,0.0177276588,0.47833,22959840,0.0370613078,0.0122041879,3.0369284661,cover,12587017,0,2117633,729088,0,733184,688129,7704580,0,708609,499712,12288
crc,0,48000000,1,1,0.0104376940,0.28255,0.0104376940,0.28255,1.35624e+07,0.0369414873,0.0121652385,3.0369372393,crc,6705164,0,1400322,1105920,0,94721,370177,4564486,0,16641,4352,12288
crc32,0,48000000,1,1,0.4304516622,10.81719,0.4304516622,10.81719,519225120,0.0397932970,0.0131106346,3.0352000577,crc32,264314889,25165824,25190401,50356224,0,46166016,20971521,151048196,0,8400897,8392704,8396800
ctl-stack,0,48000000,1,1,0.1010933114,2.62874,0.1010933114,2.62874,126179520,0.0384569945,0.0126654465,3.0364058595,ctl-stack,55898254,1228800,11194391,17035286,0,10813462,921608,35213393,0,1802245,499716,913410
ctl-string,0,48000000,1,1,0.1193375609,3.11613,0.1193375609,3.11613,149574240,0.0382967621,0.0126152866,3.0357741916,ctl-string,70168546,0,11198463,14180364,0,6053908,10334217,41742323,0,2818053,1425412,385026
ctl-vector,0,48000000,1,1,0.0917090334,2.34960,0.0917090334,2.34960,112780800,0.0390318197,0.0128573345,3.0358032205,ctl-vector,47399059,1212416,9494551,15433750,0,12283926,946185,29884499,0,1613829,503812,929794
cubic,0,48000000,1,1,3.6908926635,98.04805,3.6908926635,98.04805,4706306400,0.0376437145,0.0123925215,3.0376270445,cubic,3295559689,89096192,262852609,169639936,0,168751104,85213185,1831096324,0,23031809,12754944,13832192
dijkstra,0,48000000,1,1,6.4300981400,174.29059,6.4300981400,174.29059,8365948320,0.0368929740,0.0121230429,3.0432148625,dijkstra,4006031341,70041600,462565375,912265228,0,521306132,525996040,2230505463,0,77832197,41660420,42438658
dtoa,0,48000000,1,1,0.0676864617,1.78229,0.0676864617,1.78229,85549920,0.0379772330,0.0124812712,3.0427870074,dtoa,52560520,1388556,5423162,5984362,0,5574782,1245213,29827448,0,675849,262147,479240
duff,0,48000000,1,1,0.0044601491,0.11456,0.0044601491,0.11456,5498880,0.0389328654,0.0127993259,3.0426909804,duff,3006473,0,471041,200704,0,614400,20481,520196,0,16385,8192,8192
edn,0,48000000,1,1,0.2735894753,6.89685,0.2735894753,6.89685,331048800,0.0396687784,0.0130415572,3.0417824236,edn,175439881,27643904,17166337,53100544,0,10113024,864257,109805572,0,49153,20480,40960
expint,0,48000000,1,1,0.0427772180,1.14211,0.0427772180,1.14211,54821280,0.0374544415,0.0123090713,3.0428998965,expint,33714185,417792,6336513,1069056,0,262144,20481,21463044,0,831489,0,8192
fac,0,48000000,1,1,0.0026683921,0.07166,0.0026683921,0.07166,3439680,0.0372368418,0.0122398298,3.0434378162,fac,1646601,225280,471041,114688,0,73728,1,540676,0,53249,45056,4096
fasta,0,48000000,1,1,18.7717337806,523.72032,18.7717337806,523.72032,25138575360,0.0358430498,0.0118005489,3.0374077221,fasta,17297687649,32768000,2166153381,590458646,0,590462976,262161064,9562379869,0,163946263,98307862,98402304
fdct,0,48000000,1,1,0.0115642446,0.26963,0.0115642446,0.26963,12942240,0.0428887791,0.0141336100,3.0347906798,fdct,7254025,802816,90113,1961984,0,1216512,724993,4083716,0,12289,0,8192
fibcall,0,48000000,1,1,0.0014465660,0.03907,0.0014465660,0.03907,1875360,0.0370281972,0.0121985839,3.0375784027,fibcall,1130505,0,266241,16384,0,20480,1,647172,0,12289,0,8192
fir,0,48000000,1,1,1.9606560578,53.05840,1.9606560578,53.05840,2546803200,0.0369527906,0.0121686643,3.0367200443,fir,1273987081,99098624,227274753,14372864,0,5787648,198217729,800997380,0,2879489,2867200,8192
frac,0,48000000,1,1,1.0394319516,28.16321,1.0394319516,28.16321,1351834080,0.0369074387,0.0121564061,3.0360545417,frac,918777865,26689536,78462977,57311232,0,55025664,26746881,516075524,0,9691137,4030464,5738496
insertsort,0,48000000,1,1,0.0031679978,0.08220,0.0031679978,0.08220,3945600,0.0385385430,0.0126960714,3.0362840822,insertsort,2023433,0,274433,454656,0,430080,8193,1265668,0,8193,0,4096
janne_complex,0,48000000,1,1,0.0016008987,0.04459,0.0016008987,0.04459,2140320,0.0359026035,0.0118279005,3.0371361512,janne_complex,913417,16384,315393,16384,0,20480,16385,634884,0,12289,0,4096
jfdctint,0,48000000,1,1,0.0288507260,0.74889,0.0288507260,0.74889,35946720,0.0385244802,0.0126909925,3.0357544306,jfdctint,23126025,1048576,2387969,1298432,0,1400832,1032193,14008324,0,274433,0,12288
lcdnum,0,48000000,1,1,0.0008464880,0.02374,0.0008464880,0.02374,1139520,0.0356566147,0.0117555377,3.0374230350,lcdnum,528393,0,139265,65536,0,49152,8193,348164,0,28673,20480,4096
levenshtein,0,48000000,1,1,0.4043563952,10.79624,0.4043563952,10.79624,5.1822e+08,0.0374534454,0.0123370389,3.0358642671,levenshtein,252755977,10473472,42688513,65564672,0,18358272,11276289,164446212,0,8753153,307200,311296
ludcmp,0,48000000,1,1,0.1591131485,4.31011,0.1591131485,4.31011,206885280,0.0369162335,0.0121585369,3.0362702025,ludcmp,134098953,1810432,14602241,12636160,0,10211328,1400833,75030532,0,1441793,978944,1220608
matmult-float,0,48000000,1,1,1.3922991463,37.92524,1.3922991463,37.92524,1820411520,0.0367116768,0.0120904927,3.0364217072,matmult-float,1187909641,15319040,126152705,105320448,0,90230784,12967937,657473540,0,12259329,10608640,10665984
matmult-int,0,48000000,1,1,0.8099868758,20.51034,0.8099868758,20.51034,984496320,0.0394916389,0.0130118007,3.0351201230,matmult-int,532971529,36044800,68788225,142606336,0,47673344,6586369,311296004,0,6574081,1642496,3293184
mergesort,0,48000000,1,1,4.0882656512,109.21651,4.0882656512,109.21651,5242392480,0.0374326709,0.0123341810,3.0348777384,mergesort,3368980627,51609600,382791703,379736086,0,208285718,66043913,1863770195,0,36052997,23797764,16490498
minver,0,48000000,1,1,0.0793304530,2.11924,0.0793304530,2.11924,101723520,0.0374334436,0.0123347708,3.0348370944,minver,63896409,434159,8003052,6463580,0,5292074,669700,35850203,0,669694,225270,655350
nbody,0,48000000,1,1,23.3164768622,616.67743,23.3164768622,616.67743,2.96005e+10,0.0378098433,0.0124495934,3.0370388228,nbody,20852818620,476856236,1672875718,1104797638,0,1014243288,427855849,11588974760,0,119066601,69722097,82522112
ndes,0,48000000,1,1,0.2958834074,7.76601,0.2958834074,7.76601,372768480,0.0380997809,0.0125495207,3.0359675337,ndes,212787402,1179648,17350689,29978624,0,17199137,22016002,117424140,0,4042753,135168,139264
nettle-arcfour,0,48000000,1,1,0.1072433478,2.88381,0.1072433478,2.88381,138422880,0.0371881198,0.0122488340,3.0360842193,nettle-arcfour,74723337,0,13012993,9281536,0,7032832,2179073,41656324,0,2121729,12288,20480
nettle-cast128,0,48000000,1,1,0.0244548303,0.60872,0.0244548303,0.60872,2.92186e+07,0.0401741859,0.0132353756,3.0355105078,nettle-cast128,16830473,0,135169,2371584,0,1114112,3817473,8482820,0,20481,4096,20480
nettle-des,0,48000000,1,1,0.0212677843,0.55695,0.0212677843,0.55695,2.67336e+07,0.0381859360,0.0125766559,3.0364034346,nettle-des,19431433,0,118785,1122304,0,380928,2322433,9773060,0,32769,16384,28672
nettle-md5,0,48000000,1,1,0.0053064875,0.12987,0.0053064875,0.12987,6.23376e+06,0.0408599854,0.0134629449,3.0356081966,nettle-md5,4575241,0,94209,634880,0,188416,270337,2310148,0,12289,0,8192
nettle-sha256,0,48000000,1,1,0.0506039819,1.18290,0.0506039819,1.18290,56779200,0.0427794727,0.0141006618,3.0339523511,nettle-sha256,41385993,0,499713,10117120,0,2260992,618497,21057540,0,81921,28672,65536
newlib-exp,0,48000000,1,1,0.0659780233,1.73839,0.0659780233,1.73839,83442720,0.0379535947,0.0124999508,3.0363526919,newlib-exp,54738953,770048,5505025,4247552,0,4251648,802817,30392324,0,573441,339968,495616
newlib-log,0,48000000,1,1,0.0495599599,1.31421,0.0495599599,1.31421,6.30821e+07,0.0377107421,0.0124193404,3.0365252487,newlib-log,40787977,655360,4169729,3264512,0,3219456,667649,22614020,0,458753,237568,401408
newlib-mod,0,48000000,1,1,0.0010895003,0.02859,0.0010895003,0.02859,1372320,0.0381032499,0.0125598056,3.0366178431,newlib-mod,454665,0,102401,172032,0,217088,65537,286724,0,28673,8192,24576
newlib-sqrt,0,48000000,1,1,0.0101380896,0.28035,0.0101380896,0.28035,13456800,0.0361622550,0.0119056721,3.0377240250,newlib-sqrt,8314889,0,1220609,229376,0,258048,126977,4784132,0,81921,40960,53248
nsichneu,0,48000000,1,1,0.0300802400,0.76935,0.0300802400,0.76935,36928800,0.0390984211,0.0128784125,3.0360802786,nsichneu,20639753,0,1126401,8200192,0,45056,2105345,10883076,0,12289,0,4096
picojpeg,0,48000000,1,1,4.7849127726,129.36959,4.7849127726,129.36959,6.20974e+09,0.0369863807,0.0121801095,3.0366344927,picojpeg,3227541513,72040448,447496193,505757696,0,438185984,186368001,1892966404,0,115163137,70889472,24612864
prime,0,48000000,1,1,0.1916669837,5.20054,0.1916669837,5.20054,249625920,0.0368552313,0.0121386979,3.0361965582,prime,171671561,1769472,24014849,3620864,0,3629056,28673,98639876,0,3567617,1785856,1789952
qrduino,0,48000000,1,1,4.4305705107,121.26033,4.4305705107,121.26033,5820495840,0.0365376746,0.0120305388,3.0370906909,qrduino,3219926961,67354624,355033075,635973639,0,133865491,210268169,1901739988,0,18001925,4894724,1929218
qsort,0,48000000,1,1,0.0206924797,0.56927,0.0206924797,0.56927,2.7325e+07,0.0363491480,0.0119660998,3.0378271626,qsort,12986218,0,2421090,2814369,0,2277722,299037,8012952,0,487501,28676,483404
qurt,0,48000000,1,1,0.1286062027,3.45615,0.1286062027,3.45615,165895200,0.0372108635,0.0122531893,3.0368586091,qurt,110510089,1130496,12644353,6762496,0,6656000,1376257,62070788,0,1478657,561152,991232
