Bench,Mode,Frequency,Prefetch,Wait states,Energy,Duration,Energy (IT adjusted),Duration (IT adjusted),HW Cycles (IT adjusted),Avg power,Avg current,Avg voltage,Benchmark,Executed insns (no MULS),MULS insns,Taken branches,RAM data reads,RAM insn reads,RAM writes,Flash data reads,Flash insn reads,Flash writes,BL insns,BL word-aligned,PUSH/POP PC/LR
aha-compress,0,48000000,0,1,0.0996745,2.78021,0.0928874,2.78021,133450080,0.0334102,0.0110012,2.97335,aha-compress,64561161,0,9052161,1646592,0,1650688,958465,36372484,0,303105,147456,299008
aha-mont64,0,48000000,0,1,0.11816,3.21102,0.110783,3.21102,154128960,0.0345009,0.0113647,2.97448,aha-mont64,77611017,1081344,4521985,13213696,0,6447104,49153,42037252,0,270337,151552,266240
bs,0,48000000,0,1,0.000634871,0.01609,0.000529957,0.01609,772320,0.0329439,0.0108657,2.97302,bs,274441,0,69633,49152,0,32768,4097,188420,0,12289,4096,8192
bubblesort,0,48000000,0,1,0.432173,11.90568,0.416246,11.90568,571472640,0.034962,0.011517,2.97462,bubblesort,274706441,0,22339585,41398272,0,40996864,12289,148529156,0,12289,4096,8192
cnt,0,48000000,0,1,0.0545078,1.54192,0.0499671,1.54192,74012160,0.0324059,0.0106659,2.97203,cnt,31150089,409600,5763073,1699840,0,1724416,847873,19755012,0,843777,8192,430080
compress,0,48000000,0,1,0.0352733,0.93088,0.0320763,0.93088,44682240,0.0344581,0.0113437,2.97259,compress,17022985,0,1925121,2707456,0,3993600,2740225,9568260,0,221185,8192,217088
cover,0,48000000,0,1,0.0231183,0.62375,0.0207943,0.62375,29940000,0.0333374,0.010973,2.97208,cover,12587017,0,2117633,729088,0,733184,688129,7708676,0,708609,499712,12288
crc,0,48000000,0,1,0.0132977,0.36238,0.0118135,0.36238,17394240,0.0326,0.0107306,2.97206,crc,6705164,0,1400322,1105920,0,94721,370177,4568583,0,16641,4352,12288
crc32,0,48000000,0,1,0.496412,13.95830,0.478358,13.95830,669998400,0.0342705,0.0112815,2.97259,crc32,264314889,25165824,25190401,50356224,0,46166016,20971521,151056388,0,8400897,8392704,8396800
ctl-stack,0,48000000,0,1,0.117153,3.26559,0.109334,3.26559,156748320,0.0334808,0.011021,2.97242,ctl-stack,55898254,1228800,11194391,17035286,0,10813462,921608,35246161,0,1802245,499716,913410
ctl-string,0,48000000,0,1,0.1383,3.91916,0.129538,3.91916,188119680,0.0330526,0.0108799,2.9724,ctl-string,70168546,0,11198463,14180364,0,6053908,10334217,42029041,0,2818053,1425412,385026
ctl-vector,0,48000000,0,1,0.103595,2.87019,0.096458,2.87019,137769120,0.0336069,0.0110632,2.9726,ctl-vector,47399059,1212416,9494551,15433750,0,12283926,946185,29917267,0,1613829,503812,929794
cubic,0,48000000,0,1,4.45071,135.92847,4.5009,135.92847,6524566560,0.0331123,0.0108985,2.97212,cubic,3295559689,89096192,262852609,169639936,0,168751104,85213185,1831186436,0,23031809,12754944,13832192
dijkstra,0,48000000,0,1,6.75743,215.09096,6.92779,215.09096,10324366080,0.0322087,0.0105768,2.96531,dijkstra,4006031341,70041600,462565375,912265228,0,521306132,525996040,2315775991,0,77832197,41660420,42438658
dtoa,0,48000000,0,1,0.0870647,2.38846,0.079459,2.38846,1.14646e+08,0.0332679,0.0109263,2.96572,dtoa,52560520,1388556,5423162,5984362,0,5574782,1245213,29913464,0,675849,262147,479240
duff,0,48000000,0,1,0.00579642,0.14605,0.00491391,0.14605,7.0104e+06,0.0336454,0.0110507,2.96536,duff,3006473,0,471041,200704,0,614400,20481,1736708,0,16385,8192,8192
edn,0,48000000,0,1,0.321978,8.92424,0.304482,8.92424,4.28364e+08,0.0341185,0.0112073,2.96618,edn,175439881,27643904,17166337,53100544,0,10113024,864257,109809668,0,49153,20480,40960
expint,0,48000000,0,1,0.0565942,1.57907,0.051027,1.57907,75795360,0.0323147,0.0106124,2.96547,expint,33714185,417792,6336513,1069056,0,262144,20481,21463044,0,831489,0,8192
fac,0,48000000,0,1,0.00380645,0.09779,0.00319171,0.09779,4693920,0.0326373,0.0107212,2.96544,fac,1646601,225280,471041,114688,0,73728,1,1183748,0,53249,45056,4096
fasta,0,48000000,0,1,22.2467,734.06051,23.3324,734.06051,35234904480,0.0317854,0.0104602,2.97168,fasta,17297687649,32768000,2166153381,590458646,0,590462976,262161064,9595008605,0,163946263,98307862,98402304
fdct,0,48000000,0,1,0.0143571,0.35439,0.012814,0.35439,17010720,0.0361582,0.0119049,2.97287,fdct,7254025,802816,90113,1961984,0,1216512,724993,4087812,0,12289,0,8192
