Bench,Mode,Frequency,Prefetch,Wait states,Energy,Duration,Energy (IT adjusted),Duration (IT adjusted),HW Cycles (IT adjusted),Avg power,Avg current,Avg voltage,Benchmark,Executed insns (no MULS),MULS insns,Taken branches,RAM data reads,RAM insn reads,RAM writes,Flash data reads,Flash insn reads,Flash writes,BL insns,BL word-aligned,PUSH/POP PC/LR
aha-compress,0,24000000,1,0,0.0908198,3.63909,0.0832908,3.63909,87338160,0.0228878,0.00752118,2.96732,aha-compress,64561161,0,9052161,1646592,0,1650688,958465,36368388,0,303105,147456,299008
aha-mont64,0,24000000,1,0,0.112473,4.48968,0.104141,4.48968,107752320,0.0231956,0.00762713,2.9692,aha-mont64,77611017,1081344,4521985,13213696,0,6447104,49153,42037252,0,270337,151552,266240
bs,0,24000000,1,0,0.000597057,0.02163,0.00048529,0.02163,519120,0.022436,0.00738959,2.96865,bs,274441,0,69633,49152,0,32768,4097,184324,0,12289,4096,8192
bubblesort,0,24000000,1,0,0.410738,16.70627,0.392703,16.70627,400950480,0.0235063,0.00773055,2.96971,bubblesort,274706441,0,22339585,41398272,0,40996864,12289,148123652,0,12289,4096,8192
cnt,0,24000000,1,0,0.051008,2.02242,0.0461674,2.02242,48538080,0.0228279,0.00750296,2.9679,cnt,31150089,409600,5763073,1699840,0,1724416,847873,19382276,0,843777,8192,430080
compress,0,24000000,1,0,0.0328073,1.27897,0.0293609,1.27897,30695280,0.0229566,0.00754516,2.96784,compress,17022985,0,1925121,2707456,0,3993600,2740225,9474052,0,221185,8192,217088
cover,0,24000000,1,0,0.0211067,0.81901,0.0186914,0.81901,19656240,0.0228219,0.00750159,2.96801,cover,12587017,0,2117633,729088,0,733184,688129,7704580,0,708609,499712,12288
crc,0,24000000,1,0,0.0122286,0.46180,0.0106901,0.46180,11083200,0.0231488,0.00760978,2.96822,crc,6705164,0,1400322,1105920,0,94721,370177,4564486,0,16641,4352,12288
crc32,0,24000000,1,0,0.470014,19.71713,0.450269,19.71713,473211120,0.0228364,0.00750762,2.96867,crc32,264314889,25165824,25190401,50356224,0,46166016,20971521,151048196,0,8400897,8392704,8396800
ctl-stack,0,24000000,1,0,0.110878,4.61609,0.102318,4.61609,110786160,0.0221654,0.00728499,2.96782,ctl-stack,55898254,1228800,11194391,17035286,0,10813462,921608,35213393,0,1802245,499716,913410
ctl-string,0,24000000,1,0,0.128261,5.25362,0.118793,5.25362,126086880,0.0226117,0.00743165,2.96782,ctl-string,70168546,0,11198463,14180364,0,6053908,10334217,41742323,0,2818053,1425412,385026
ctl-vector,0,24000000,1,0,0.0996744,4.10914,0.0917788,4.10914,98619360,0.0223353,0.00734139,2.96804,ctl-vector,47399059,1212416,9494551,15433750,0,12283926,946185,29884499,0,1613829,503812,929794
cubic,0,24000000,1,0,4.09396,181.75934,4.14149,181.75934,4362224160,0.0227856,0.00748116,2.96481,cubic,3295559689,89096192,262852609,169639936,0,168751104,85213185,1831096324,0,23031809,12754944,13832192
