Bench,Mode,Frequency,Prefetch,Wait states,Energy,Duration,Energy (IT adjusted),Duration (IT adjusted),HW Cycles (IT adjusted),Avg power,Avg current,Avg voltage,Benchmark,Executed insns (no MULS),MULS insns,Taken branches,RAM data reads,RAM insn reads,RAM writes,Flash data reads,Flash insn reads,Flash writes,BL insns,BL word-aligned,PUSH/POP PC/LR
aha-compress,0,24000000,1,0,0.0854193686,3.63909,0.0854193686,3.63909,87338160,0.0234727506,0.0077133856,3.0431546931,aha-compress,64561161,0,9052161,1646592,0,1650688,958465,36368388,0,303105,147456,299008
aha-mont64,0,24000000,1,0,0.1066671865,4.48968,0.1066671865,4.48968,107752320,0.0237582872,0.0078121382,3.0412281402,aha-mont64,77611017,1081344,4521985,13213696,0,6447104,49153,42037252,0,270337,151552,266240
bs,0,24000000,1,0,0.0004972485,0.02163,0.0004972485,0.02163,519120,0.0229888182,0.0075716731,3.0417979294,bs,274441,0,69633,49152,0,32768,4097,184324,0,12289,4096,8192
bubblesort,0,24000000,1,0,0.4020922244,16.70627,0.4020922244,16.70627,400950480,0.0240683378,0.0079153806,3.0407120361,bubblesort,274706441,0,22339585,41398272,0,40996864,12289,148123652,0,12289,4096,8192
cnt,0,24000000,1,0,0.0473288842,2.02242,0.0473288842,2.02242,48538080,0.0234021429,0.0076917117,3.0425641556,cnt,31150089,409600,5763073,1699840,0,1724416,847873,19382276,0,843777,8192,430080
compress,0,24000000,1,0,0.0301007090,1.27897,0.0301007090,1.27897,30695280,0.0235350569,0.0077352814,3.0426239753,compress,17022985,0,1925121,2707456,0,3993600,2740225,9474052,0,221185,8192,217088
cover,0,24000000,1,0,0.0191601311,0.81901,0.0191601311,0.81901,19656240,0.0233942525,0.0076897163,3.0424472609,cover,12587017,0,2117633,729088,0,733184,688129,7704580,0,708609,499712,12288
crc,0,24000000,1,0,0.0109567021,0.46180,0.0109567021,0.46180,11083200,0.0237260757,0.0077995588,3.0422392681,crc,6705164,0,1400322,1105920,0,94721,370177,4564486,0,16641,4352,12288
crc32,0,24000000,1,0,0.4613563960,19.71713,0.4613563960,19.71713,473211120,0.0233987567,0.0076924917,3.0417732352,crc32,264314889,25165824,25190401,50356224,0,46166016,20971521,151048196,0,8400897,8392704,8396800
ctl-stack,0,24000000,1,0,0.1048972397,4.61609,0.1048972397,4.61609,110786160,0.0227242460,0.0074686533,3.0426441084,ctl-stack,55898254,1228800,11194391,17035286,0,10813462,921608,35213393,0,1802245,499716,913410
