Bench,Mode,Frequency,Prefetch,Wait states,Energy,Duration,Energy (IT adjusted),Duration (IT adjusted),HW Cycles (IT adjusted),Avg power,Avg current,Avg voltage,Benchmark,Executed insns (no MULS),MULS insns,Taken branches,RAM data reads,RAM insn reads,RAM writes,Flash data reads,Flash insn reads,Flash writes,BL insns,BL word-aligned,PUSH/POP PC/LR
ludcmp,0,48000000,1,1,0.165221,4.31011,0.155853,4.31011,206885280,0.0361598,0.0119094,2.97405,ludcmp,134098953,1810432,14602241,12636160,0,10211328,1400833,75030532,0,1441793,978944,1220608
matmult-float,0,48000000,1,1,1.38284,37.92524,1.36363,37.92524,1820411520,0.0359558,0.0118416,2.9739,matmult-float,1187909641,15319040,126152705,105320448,0,90230784,12967937,657473540,0,12259329,10608640,10665984
matmult-int,0,48000000,1,1,0.813365,20.51034,0.79399,20.51034,984496320,0.0387117,0.0127548,2.97518,matmult-int,532971529,36044800,68788225,142606336,0,47673344,6586369,311296004,0,6574081,1642496,3293184
mergesort,0,48000000,1,1,3.97702,109.21651,4.00817,109.21651,5242392480,0.0366993,0.0120925,2.97542,mergesort,3368980627,51609600,382791703,379736086,0,208285718,66043913,1863770195,0,36052997,23797764,16490498
minver,0,48000000,1,1,0.0833631,2.11924,0.0777782,2.11924,101723520,0.036701,0.0120934,2.97546,minver,63896409,434159,8003052,6463580,0,5292074,669700,35850203,0,669694,225270,655350
nbody,0,48000000,1,1,21.8252,616.67743,22.8271,616.67743,2.96005e+10,0.0370163,0.0121883,2.9733,nbody,20852818620,476856236,1672875718,1104797638,0,1014243288,427855849,11588974760,0,119066601,69722097,82522112
ndes,0,48000000,1,1,0.303288,7.76601,0.289878,7.76601,372768480,0.0373265,0.0122948,2.97435,ndes,212787402,1179648,17350689,29978624,0,17199137,22016002,117424140,0,4042753,135168,139264
nettle-arcfour,0,48000000,1,1,0.112234,2.88381,0.105059,2.88381,138422880,0.0364305,0.0119993,2.97423,nettle-arcfour,74723337,0,13012993,9281536,0,7032832,2179073,41656324,0,2121729,12288,20480
nettle-cast128,0,48000000,1,1,0.026339,0.60872,0.0239657,0.60872,2.92186e+07,0.0393706,0.0129707,2.9748,nettle-cast128,16830473,0,135169,2371584,0,1114112,3817473,8482820,0,20481,4096,20480
nettle-des,0,48000000,1,1,0.0230215,0.55695,0.0208301,0.55695,2.67336e+07,0.0374002,0.0123179,2.97392,nettle-des,19431433,0,118785,1122304,0,380928,2322433,9773060,0,32769,16384,28672
nettle-md5,0,48000000,1,1,0.00589464,0.12987,0.00520002,0.12987,6.23376e+06,0.0400402,0.0131928,2.9747,nettle-md5,4575241,0,94209,634880,0,188416,270337,2310148,0,12289,0,8192
nettle-sha256,0,48000000,1,1,0.0535548,1.18290,0.0496428,1.18290,56779200,0.0419669,0.0138328,2.97632,nettle-sha256,41385993,0,499713,10117120,0,2260992,618497,21057540,0,81921,28672,65536
newlib-exp,0,48000000,1,1,0.0697677,1.73839,0.0646225,1.73839,83442720,0.0371738,0.0122431,2.97397,newlib-exp,54738953,770048,5505025,4247552,0,4251648,802817,30392324,0,573441,339968,495616
newlib-log,0,48000000,1,1,0.0527333,1.31421,0.0485362,1.31421,6.30821e+07,0.0369318,0.0121628,2.9738,newlib-log,40787977,655360,4169729,3264512,0,3219456,667649,22614020,0,458753,237568,401408
newlib-mod,0,48000000,1,1,0.00125489,0.02859,0.00106693,0.02859,1372320,0.0373139,0.0122996,2.97371,newlib-mod,454665,0,102401,172032,0,217088,65537,286724,0,28673,8192,24576
newlib-sqrt,0,48000000,1,1,0.0111863,0.28035,0.00992084,0.28035,13456800,0.0353873,0.0116505,2.97263,newlib-sqrt,8314889,0,1220609,229376,0,258048,126977,4784132,0,81921,40960,53248
nsichneu,0,48000000,1,1,0.0323056,0.76935,0.0294675,0.76935,36928800,0.038302,0.0126161,2.97424,nsichneu,20639753,0,1126401,8200192,0,45056,2105345,10883076,0,12289,0,4096
picojpeg,0,48000000,1,1,4.63215,129.36959,4.68574,129.36959,6.20974e+09,0.0362198,0.0119277,2.9737,picojpeg,3227541513,72040448,447496193,505757696,0,438185984,186368001,1892966404,0,115163137,70889472,24612864
prime,0,48000000,1,1,0.198251,5.20054,0.187749,5.20054,249625920,0.0361018,0.0118905,2.97412,prime,171671561,1769472,24014849,3620864,0,3629056,28673,98639876,0,3567617,1785856,1789952
qrduino,0,48000000,1,1,4.29408,121.26033,4.33744,121.26033,5820495840,0.0357696,0.0117776,2.97325,qrduino,3219926961,67354624,355033075,635973639,0,133865491,210268169,1901739988,0,18001925,4894724,1929218
qsort,0,48000000,1,1,0.0224913,0.56927,0.0202477,0.56927,2.7325e+07,0.0355678,0.0117089,2.97253,qsort,12986218,0,2421090,2814369,0,2277722,299037,8012952,0,487501,28676,483404
qurt,0,48000000,1,1,0.134231,3.45615,0.125922,3.45615,165895200,0.0364342,0.0119975,2.97348,qurt,110510089,1130496,12644353,6762496,0,6656000,1376257,62070788,0,1478657,561152,991232
recursion,0,48000000,1,1,0.0115772,0.29170,0.0102795,0.29170,14001600,0.0352401,0.0116027,2.97274,recursion,5148681,0,1474561,1474560,0,1478656,12289,3096580,0,372737,360448,368640
rijndael,0,48000000,1,1,6.61058,172.20814,6.72933,172.20814,8.26599e+09,0.0390767,0.012877,2.97566,rijndael,4737201167,201787392,249218048,933453824,0,551467011,442913795,2586172423,0,69386241,34754560,69382144
select,0,48000000,1,1,0.00799088,0.19769,0.00708284,0.19769,9489120,0.0358286,0.0118026,2.97433,select,4382259,0,898352,870354,0,865709,73884,2695622,0,192767,45106,188670
sglib-arraybinsearch,0,48000000,1,1,0.0801134,2.11024,0.0744822,2.11024,101291520,0.0352956,0.0116259,2.97431,sglib-arraybinsearch,55005193,0,10010625,5185536,0,3362816,2584577,33181700,0,8193,0,4096
sglib-arrayheapsort,0,48000000,1,1,0.0869508,2.14196,0.0810714,2.14196,102814080,0.0378492,0.012469,2.97481,sglib-arrayheapsort,68227081,0,5492737,11694080,0,5251072,8193,35635204,0,8193,0,4096
sglib-arrayquicksort,0,48000000,1,1,0.068733,1.70841,0.0637165,1.70841,82003680,0.0372957,0.0122851,2.97442,sglib-arrayquicksort,48320521,0,6635521,6144000,0,5320704,110593,27193348,0,8193,0,4096
sglib-dllist,0,48000000,1,1,0.28222,7.42193,0.269241,7.42193,356252640,0.0362764,0.011948,2.97411,sglib-dllist,174730376,0,34684804,37396453,0,25288724,2662414,99606030,0,4128775,2875398,2068483
sglib-hashtable,0,48000000,1,1,0.26031,6.84780,0.247924,6.84780,328694400,0.0362049,0.0119245,2.97412,sglib-hashtable,147143984,0,31141788,36007919,0,31014934,2658318,90488428,0,8564743,4435974,4460547
sglib-listinsertsort,0,48000000,1,1,0.303641,7.93582,0.290204,7.93582,380919360,0.0365689,0.0120451,2.97431,sglib-listinsertsort,182684730,0,35475321,53907424,0,23179283,2637838,114871779,0,4493319,2453510,2867203
sglib-listsort,0,48000000,1,1,0.229623,6.01330,0.21817,6.01330,288638400,0.0362812,0.0119501,2.97424,sglib-listsort,142494856,0,27049860,28729317,0,18653204,2662414,86978062,0,3284999,1638406,1642499
sglib-queue,0,48000000,1,1,0.125655,3.16530,0.117962,3.16530,151934400,0.0372674,0.0122761,2.97449,sglib-queue,100053001,0,9867265,13426688,0,6590464,8193,55894020,0,827393,0,4096
sglib-rbtree,0,48000000,1,1,0.535905,13.90450,0.518519,13.90450,667416000,0.0372914,0.0122849,2.97475,sglib-rbtree,312859712,0,56242041,101928928,0,55095315,5120014,184684006,0,9834503,6033414,7782403
slre,0,48000000,1,1,0.226738,5.90720,0.215534,5.90720,283545600,0.0364867,0.0120195,2.97469,slre,130375689,0,27709441,26537984,0,16846848,7409665,81473540,0,4825089,2555904,2428928
sqrt,0,48000000,1,1,9.99096,284.34138,10.2221,284.34138,13648386240,0.0359499,0.0118604,2.97912,sqrt,9138057225,96550912,996339713,561233920,0,546775040,135700481,5142159364,0,127401985,40456192,79728640
st,0,48000000,1,1,2.58665,70.64851,2.58483,70.64851,3391128480,0.0365871,0.0120722,2.97952,st,2362494985,43728896,206438401,129507328,0,120762368,56872961,1307758596,0,22945793,15421440,12427264
statemate,0,48000000,1,1,0.0104312,0.25342,0.00951087,0.25342,1.21642e+07,0.0375306,0.0123883,2.98032,statemate,5095433,0,528385,1044480,0,1388544,1466369,2203652,0,53249,12288,40960
stb_perlin,0,48000000,1,1,4.60189,131.11017,4.64506,131.11017,6.29329e+09,0.0354286,0.0116884,2.97912,stb_perlin,3802832905,44081152,406953985,428933120,0,408084480,89890817,2131066884,0,58757121,24043520,52801536
