Bench,Mode,Frequency,Prefetch,Wait states,Energy,Duration,Energy (IT adjusted),Duration (IT adjusted),HW Cycles (IT adjusted),Avg power,Avg current,Avg voltage,Benchmark,Executed insns (no MULS),MULS insns,Taken branches,RAM data reads,RAM insn reads,RAM writes,Flash data reads,Flash insn reads,Flash writes,BL insns,BL word-aligned,PUSH/POP PC/LR
aha-compress,0,48000000,0,0,0.0786661,1.81916,0.0734542,1.81916,87319680,0.0403781,0.0133087,2.97626,aha-compress,64561161,0,9052161,1646592,0,1650688,958465,36372484,0,303105,147456,299008
aha-mont64,0,48000000,0,0,0.0990134,2.24441,0.0931081,2.24441,1.07732e+08,0.0414844,0.0136785,2.97741,aha-mont64,77611017,1081344,4521985,13213696,0,6447104,49153,42037252,0,270337,151552,266240
bs,0,48000000,0,0,0.000504454,0.01081,0.000427016,0.01081,518880,0.0395019,0.0130513,2.97624,bs,274441,0,69633,49152,0,32768,4097,188420,0,12289,4096,8192
bubblesort,0,48000000,0,0,0.364094,8.35300,0.351039,8.35300,400944000,0.0420255,0.0138594,2.97796,bubblesort,274706441,0,22339585,41398272,0,40996864,12289,148529156,0,12289,4096,8192
cnt,0,48000000,0,0,0.0439801,1.01109,0.0405072,1.01109,48532320,0.0400628,0.0132011,2.9754,cnt,31150089,409600,5763073,1699840,0,1724416,847873,19755012,0,843777,8192,430080
compress,0,48000000,0,0,0.0289265,0.63934,0.0264209,0.63934,30688320,0.0413255,0.0136174,2.97541,compress,17022985,0,1925121,2707456,0,3993600,2740225,9568260,0,221185,8192,217088
cover,0,48000000,0,0,0.0183571,0.40947,0.0165875,0.40947,19654560,0.04051,0.0133467,2.97492,cover,12587017,0,2117633,729088,0,733184,688129,7708676,0,708609,499712,12288
crc,0,48000000,0,0,0.0105285,0.23084,0.0094334,0.23084,11080320,0.040865,0.0134678,2.97567,crc,6705164,0,1400322,1105920,0,94721,370177,4568583,0,16641,4352,12288
crc32,0,48000000,0,0,0.421166,9.85762,0.405989,9.85762,4.73166e+08,0.0411853,0.013572,2.97571,crc32,264314889,25165824,25190401,50356224,0,46166016,20971521,151056388,0,8400897,8392704,8396800
ctl-stack,0,48000000,0,0,0.0973693,2.30767,0.0910001,2.30767,110768160,0.0394338,0.0129912,2.97484,ctl-stack,55898254,1228800,11194391,17035286,0,10813462,921608,35246161,0,1802245,499716,913410
ctl-string,0,48000000,0,0,0.112437,2.62665,0.10548,2.62665,126079200,0.0401578,0.0132314,2.97523,ctl-string,70168546,0,11198463,14180364,0,6053908,10334217,42029041,0,2818053,1425412,385026
ctl-vector,0,48000000,0,0,0.087627,2.05415,0.0817435,2.05415,98599200,0.0397943,0.0131105,2.97496,ctl-vector,47399059,1212416,9494551,15433750,0,12283926,946185,29917267,0,1613829,503812,929794
cubic,0,48000000,0,0,3.72256,90.87453,3.74951,90.87453,4361977440,0.0412603,0.0135809,2.97223,cubic,3295559689,89096192,262852609,169639936,0,168751104,85213185,1831186436,0,23031809,12754944,13832192
dijkstra,0,48000000,0,0,5.63427,147.15000,5.73913,147.15000,7063200000,0.0390019,0.0128205,2.9683,dijkstra,4006031341,70041600,462565375,912265228,0,521306132,525996040,2315775991,0,77832197,41660420,42438658
dtoa,0,48000000,0,0,0.0723935,1.63645,0.066263,1.63645,78549600,0.040492,0.0133131,2.96887,dtoa,52560520,1388556,5423162,5984362,0,5574782,1245213,29913464,0,675849,262147,479240
duff,0,48000000,0,0,0.00477065,0.09991,0.00408212,0.09991,4795680,0.0408565,0.0134354,2.96869,duff,3006473,0,471041,200704,0,614400,20481,1736708,0,16385,8192,8192
edn,0,48000000,0,0,0.271543,6.26694,0.256846,6.26694,300813120,0.0409843,0.0134761,2.96917,edn,175439881,27643904,17166337,53100544,0,10113024,864257,109809668,0,49153,20480,40960
expint,0,48000000,0,0,0.0457165,1.01804,0.0414154,1.01804,48865920,0.0406816,0.013377,2.9692,expint,33714185,417792,6336513,1069056,0,262144,20481,21463044,0,831489,0,8192
fac,0,48000000,0,0,0.00302212,0.06357,0.00256229,0.06357,3051360,0.0403066,0.0132589,2.96913,fac,1646601,225280,471041,114688,0,73728,1,1183748,0,53249,45056,4096
fasta,0,48000000,0,0,18.4914,485.53720,19.2066,485.53720,23305785600,0.0395574,0.0130361,2.97584,fasta,17297687649,32768000,2166153381,590458646,0,590462976,262161064,9595008605,0,163946263,98307862,98402304
fdct,0,48000000,0,0,0.012257,0.25271,0.0110426,0.25271,12130080,0.043696,0.0144037,2.97634,fdct,7254025,802816,90113,1961984,0,1216512,724993,4087812,0,12289,0,8192
fibcall,0,48000000,0,0,0.00163422,0.03575,0.00140212,0.03575,1.716e+06,0.0392203,0.0129283,2.9744,fibcall,1130505,0,266241,16384,0,20480,1,655364,0,12289,0,8192
fir,0,48000000,0,0,1.79301,42.57430,1.77888,42.57430,2043566400,0.041783,0.0137712,2.97618,fir,1273987081,99098624,227274753,14372864,0,5787648,198217729,801001476,0,2879489,2867200,8192
