Bench,Mode,Frequency,Prefetch,Wait states,Energy,Duration,Energy (IT adjusted),Duration (IT adjusted),HW Cycles (IT adjusted),Avg power,Avg current,Avg voltage,Benchmark,Executed insns (no MULS),MULS insns,Taken branches,RAM data reads,RAM insn reads,RAM writes,Flash data reads,Flash insn reads,Flash writes,BL insns,BL word-aligned,PUSH/POP PC/LR
aha-compress,0,48000000,1,0,0.0803863,1.81909,0.0753393,1.81909,87316320,0.0414158,0.013657,2.97764,aha-compress,64561161,0,9052161,1646592,0,1650688,958465,36368388,0,303105,147456,299008
aha-mont64,0,48000000,1,0,0.100728,2.24451,0.0948389,2.24451,107736480,0.0422537,0.0139341,2.97783,aha-mont64,77611017,1081344,4521985,13213696,0,6447104,49153,42037252,0,270337,151552,266240
bs,0,48000000,1,0,0.000518877,0.01081,0.000440765,0.01081,518880,0.0407738,0.0134735,2.97675,bs,274441,0,69633,49152,0,32768,4097,184324,0,12289,4096,8192
bubblesort,0,48000000,1,0,0.370705,8.35278,0.357602,8.35278,4.00933e+08,0.0428124,0.0141196,2.97811,bubblesort,274706441,0,22339585,41398272,0,40996864,12289,148123652,0,12289,4096,8192
cnt,0,48000000,1,0,0.0454377,1.01100,0.0419609,1.01100,4.8528e+07,0.0415044,0.0136794,2.97612,cnt,31150089,409600,5763073,1699840,0,1724416,847873,19382276,0,843777,8192,430080
compress,0,48000000,1,0,0.0295267,0.63935,0.0270122,0.63935,30688800,0.0422493,0.0139236,2.9758,compress,17022985,0,1925121,2707456,0,3993600,2740225,9474052,0,221185,8192,217088
cover,0,48000000,1,0,0.0188686,0.40945,0.0170966,0.40945,19653600,0.0417551,0.0137601,2.97557,cover,12587017,0,2117633,729088,0,733184,688129,7704580,0,708609,499712,12288
crc,0,48000000,1,0,0.010901,0.23085,0.00978335,0.23085,11080800,0.0423791,0.0139681,2.97593,crc,6705164,0,1400322,1105920,0,94721,370177,4564486,0,16641,4352,12288
crc32,0,48000000,1,0,0.428379,9.85695,0.413266,9.85695,473133600,0.0419263,0.0138179,2.97606,crc32,264314889,25165824,25190401,50356224,0,46166016,20971521,151048196,0,8400897,8392704,8396800
ctl-stack,0,48000000,1,0,0.0999293,2.30774,0.0934837,2.30774,110771520,0.0405087,0.0133462,2.97503,ctl-stack,55898254,1228800,11194391,17035286,0,10813462,921608,35213393,0,1802245,499716,913410
ctl-string,0,48000000,1,0,0.114958,2.62637,0.108042,2.62637,126065760,0.0411374,0.0135571,2.97587,ctl-string,70168546,0,11198463,14180364,0,6053908,10334217,41742323,0,2818053,1425412,385026
ctl-vector,0,48000000,1,0,0.089691,2.05411,0.0837947,2.05411,98597280,0.0407937,0.0134418,2.97541,ctl-vector,47399059,1212416,9494551,15433750,0,12283926,946185,29884499,0,1613829,503812,929794
cubic,0,48000000,1,0,3.8124,90.83001,3.83852,90.83001,4359840480,0.0422605,0.0139274,2.97594,cubic,3295559689,89096192,262852609,169639936,0,168751104,85213185,1831096324,0,23031809,12754944,13832192
dijkstra,0,48000000,1,0,5.76086,147.14375,5.86912,147.14375,7.0629e+09,0.039887,0.0131145,2.969,dijkstra,4006031341,70041600,462565375,912265228,0,521306132,525996040,2230505463,0,77832197,41660420,42438658
dtoa,0,48000000,1,0,0.0738005,1.63639,0.0677125,1.63639,78546720,0.0413792,0.0136084,2.96965,dtoa,52560520,1388556,5423162,5984362,0,5574782,1245213,29827448,0,675849,262147,479240
duff,0,48000000,1,0,0.00479623,0.09991,0.00411333,0.09991,4795680,0.041169,0.0135404,2.96918,duff,3006473,0,471041,200704,0,614400,20481,520196,0,16385,8192,8192
edn,0,48000000,1,0,0.273448,6.26683,0.258861,6.26683,300807840,0.0413065,0.013584,2.96959,edn,175439881,27643904,17166337,53100544,0,10113024,864257,109805572,0,49153,20480,40960
expint,0,48000000,1,0,0.0467835,1.01798,0.0424752,1.01798,4.8863e+07,0.0417249,0.0137228,2.96979,expint,33714185,417792,6336513,1069056,0,262144,20481,21463044,0,831489,0,8192
fac,0,48000000,1,0,0.0031364,0.06357,0.00267151,0.06357,3051360,0.0420269,0.013828,2.96993,fac,1646601,225280,471041,114688,0,73728,1,540676,0,53249,45056,4096
fasta,0,48000000,1,0,19.0125,485.52577,19.7739,485.52577,23305236960,0.0407267,0.0134189,2.97527,fasta,17297687649,32768000,2166153381,590458646,0,590462976,262161064,9562379869,0,163946263,98307862,98402304
fdct,0,48000000,1,0,0.0123937,0.25270,0.0111737,0.25270,1.21296e+07,0.0442165,0.0145761,2.97648,fdct,7254025,802816,90113,1961984,0,1216512,724993,4083716,0,12289,0,8192
fibcall,0,48000000,1,0,0.00167987,0.03574,0.00144362,0.03574,1715520,0.0403885,0.0133135,2.97461,fibcall,1130505,0,266241,16384,0,20480,1,647172,0,12289,0,8192
