Bench,Mode,Frequency,Prefetch,Wait states,Energy,Duration,Energy (IT adjusted),Duration (IT adjusted),HW Cycles (IT adjusted),Avg power,Avg current,Avg voltage,Benchmark,Executed insns (no MULS),MULS insns,Taken branches,RAM data reads,RAM insn reads,RAM writes,Flash data reads,Flash insn reads,Flash writes,BL insns,BL word-aligned,PUSH/POP PC/LR
aha-compress,0,20000000,0,0,0.0841488791,4.36670,0.0841488791,4.36670,87334000,0.0192705985,0.0063283583,3.0451414812,aha-compress,64561161,0,9052161,1646592,0,1650688,958465,36372484,0,303105,147456,299008
aha-mont64,0,20000000,0,0,0.1057805126,5.38785,0.1057805126,5.38785,107757000,0.0196331445,0.0064533349,3.0423391339,aha-mont64,77611017,1081344,4521985,13213696,0,6447104,49153,42037252,0,270337,151552,266240
bs,0,20000000,0,0,0.0004737006,0.02595,0.0004737006,0.02595,519000,0.0182543477,0.0060032087,3.0446861488,bs,274441,0,69633,49152,0,32768,4097,188420,0,12289,4096,8192
bubblesort,0,20000000,0,0,0.4028454407,20.05011,0.4028454407,20.05011,401002200,0.0200919262,0.0066032911,3.0427233641,bubblesort,274706441,0,22339585,41398272,0,40996864,12289,148529156,0,12289,4096,8192
cnt,0,20000000,0,0,0.0453281712,2.42684,0.0453281712,2.42684,48536800,0.0186778787,0.0061347220,3.0446677635,cnt,31150089,409600,5763073,1699840,0,1724416,847873,19755012,0,843777,8192,430080
compress,0,20000000,0,0,0.0292812402,1.53466,0.0292812402,1.53466,30693200,0.0190799931,0.0062678577,3.0441959259,compress,17022985,0,1925121,2707456,0,3993600,2740225,9568260,0,221185,8192,217088
cover,0,20000000,0,0,0.0183679064,0.98287,0.0183679064,0.98287,19657400,0.0186880334,0.0061363416,3.0456357719,cover,12587017,0,2117633,729088,0,733184,688129,7708676,0,708609,499712,12288
crc,0,20000000,0,0,0.0103283671,0.55419,0.0103283671,0.55419,11083800,0.0186369885,0.0061205180,3.0451503081,crc,6705164,0,1400322,1105920,0,94721,370177,4568583,0,16641,4352,12288
crc32,0,20000000,0,0,0.4628915766,23.66257,0.4628915766,23.66257,473251400,0.0195621857,0.0064267946,3.0438532358,crc32,264314889,25165824,25190401,50356224,0,46166016,20971521,151056388,0,8400897,8392704,8396800
ctl-stack,0,20000000,0,0,0.1021687716,5.53895,0.1021687716,5.53895,110779000,0.0184454980,0.0060582520,3.0447131892,ctl-stack,55898254,1228800,11194391,17035286,0,10813462,921608,35246161,0,1802245,499716,913410
ctl-string,0,20000000,0,0,0.1184639793,6.30483,0.1184639793,6.30483,126096600,0.0187894120,0.0061710001,3.0448169030,ctl-string,70168546,0,11198463,14180364,0,6053908,10334217,42029041,0,2818053,1425412,385026
ctl-vector,0,20000000,0,0,0.0908282672,4.93053,0.0908282672,4.93053,98610600,0.0184215959,0.0060510373,3.0443888723,ctl-vector,47399059,1212416,9494551,15433750,0,12283926,946185,29917267,0,1613829,503812,929794
cubic,0,20000000,0,0,4.2816254180,218.13922,4.2816254180,218.13922,4362784400,0.0196279486,0.0064490270,3.0435585884,cubic,3295559689,89096192,262852609,169639936,0,168751104,85213185,1831186436,0,23031809,12754944,13832192
dijkstra,0,20000000,0,0,6.5706098783,353.28852,6.5706098783,353.28852,7065770400,0.0185984244,0.0061028463,3.0474960211,dijkstra,4006031341,70041600,462565375,912265228,0,521306132,525996040,2315775991,0,77832197,41660420,42438658
dtoa,0,20000000,0,0,0.0758799571,3.92882,0.0758799571,3.92882,78576400,0.0193136793,0.0063296947,3.0513259786,dtoa,52560520,1388556,5423162,5984362,0,5574782,1245213,29913464,0,675849,262147,479240
duff,0,20000000,0,0,0.0044791241,0.23990,0.0044791241,0.23990,4798000,0.0186705377,0.0061181133,3.0520246861,duff,3006473,0,471041,200704,0,614400,20481,1736708,0,16385,8192,8192
edn,0,20000000,0,0,0.3016393286,15.04601,0.3016393286,15.04601,300920200,0.0200477962,0.0065710977,3.0509142856,edn,175439881,27643904,17166337,53100544,0,10113024,864257,109809668,0,49153,20480,40960
expint,0,20000000,0,0,0.0468798285,2.44451,0.0468798285,2.44451,48890200,0.0191776240,0.0062852071,3.0512987227,expint,33714185,417792,6336513,1069056,0,262144,20481,21463044,0,831489,0,8192
fac,0,20000000,0,0,0.0028495844,0.15265,0.0028495844,0.15265,3053000,0.0186678433,0.0061196267,3.0515528427,fac,1646601,225280,471041,114688,0,73728,1,1183748,0,53249,45056,4096
fasta,0,20000000,0,0,22.5948348515,1165.81303,22.5948348515,1165.81303,23316260600,0.0193811808,0.0063537818,3.0503388875,fasta,17297687649,32768000,2166153381,590458646,0,590462976,262161064,9595008605,0,163946263,98307862,98402304
fdct,0,20000000,0,0,0.0123250501,0.60675,0.0123250501,0.60675,12135000,0.0203133464,0.0066711010,3.0451024902,fdct,7254025,802816,90113,1961984,0,1216512,724993,4087812,0,12289,0,8192
fibcall,0,20000000,0,0,0.0015509370,0.08583,0.0015509370,0.08583,1716600,0.0180698719,0.0059332812,3.0464615546,fibcall,1130505,0,266241,16384,0,20480,1,655364,0,12289,0,8192
fir,0,20000000,0,0,2.0248341501,102.21698,2.0248341501,102.21698,2.04434e+09,0.0198091770,0.0065043485,3.0455320312,fir,1273987081,99098624,227274753,14372864,0,5787648,198217729,801001476,0,2879489,2867200,8192
frac,0,20000000,0,0,1.1847177052,62.69953,1.1847177052,62.69953,1253990600,0.0188951633,0.0062049975,3.0451579745,frac,918777865,26689536,78462977,57311232,0,55025664,26746881,516280324,0,9691137,4030464,5738496
insertsort,0,20000000,0,0,0.0031904728,0.17346,0.0031904728,0.17346,3469200,0.0183931328,0.0060404848,3.0454478680,insertsort,2023433,0,274433,454656,0,430080,8193,1265668,0,8193,0,4096
janne_complex,0,20000000,0,0,0.0015260186,0.08131,0.0015260186,0.08131,1.6262e+06,0.0187671404,0.0061656956,3.0455271083,janne_complex,913417,16384,315393,16384,0,20480,16385,634884,0,12289,0,4096
jfdctint,0,20000000,0,0,0.0330457519,1.64442,0.0330457519,1.64442,32888400,0.0200956462,0.0066016621,3.0441351193,jfdctint,23126025,1048576,2387969,1298432,0,1400832,1032193,14008324,0,274433,0,12288
lcdnum,0,20000000,0,0,0.0008505562,0.04801,0.0008505562,0.04801,960200,0.0177162318,0.0058207411,3.0458029887,lcdnum,528393,0,139265,65536,0,49152,8193,352260,0,28673,20480,4096
levenshtein,0,20000000,0,0,0.4210484627,22.58980,0.4210484627,22.58980,451796000,0.0186388780,0.0061216404,3.0447598019,levenshtein,252755977,10473472,42688513,65564672,0,18358272,11276289,165433348,0,8753153,307200,311296
ludcmp,0,20000000,0,0,0.1777812051,9.57868,0.1777812051,9.57868,191573600,0.0185601058,0.0060954457,3.0449224733,ludcmp,134098953,1810432,14602241,12636160,0,10211328,1400833,75034628,0,1441793,978944,1220608
matmult-float,0,20000000,0,0,1.5578919107,84.15742,1.5578919107,84.15742,1683148400,0.0185116427,0.0060797394,3.0448154364,matmult-float,1187909641,15319040,126152705,105320448,0,90230784,12967937,657477636,0,12259329,10608640,10665984
matmult-int,0,20000000,0,0,0.8792015427,45.56289,0.8792015427,45.56289,9.11258e+08,0.0192964380,0.0063374891,3.0448151556,matmult-int,532971529,36044800,68788225,142606336,0,47673344,6586369,311300100,0,6574081,1642496,3293184
mergesort,0,20000000,0,0,4.6503893397,244.08443,4.6503893397,244.08443,4881688600,0.0190523802,0.0062581652,3.0444146816,mergesort,3368980627,51609600,382791703,379736086,0,208285718,66043913,1865756755,0,36052997,23797764,16490498
minver,0,20000000,0,0,0.0875024865,4.69360,0.0875024865,4.69360,93872000,0.0186429314,0.0061254595,3.0435528439,minver,63896409,434159,8003052,6463580,0,5292074,669700,36026331,0,669694,225270,655350
nbody,0,20000000,0,0,26.6527241899,1368.15034,26.6527241899,1368.15034,27363006800,0.0194808445,0.0064015468,3.0431505533,nbody,20852818620,476856236,1672875718,1104797638,0,1014243288,427855849,11588982952,0,119066601,69722097,82522112
ndes,0,20000000,0,0,0.3077604588,16.06462,0.3077604588,16.06462,321292400,0.0191576546,0.0062898835,3.0458040665,ndes,212787402,1179648,17350689,29978624,0,17199137,22016002,117424230,0,4042753,135168,139264
nettle-arcfour,0,20000000,0,0,0.1113768548,6.05486,0.1113768548,6.05486,121097200,0.0183946258,0.0060397204,3.0456198394,nettle-arcfour,74723337,0,13012993,9281536,0,7032832,2179073,47927300,0,2121729,12288,20480
nettle-cast128,0,20000000,0,0,0.0249705837,1.21929,0.0249705837,1.21929,24385800,0.0204796124,0.0067273476,3.0443427203,nettle-cast128,16830473,0,135169,2371584,0,1114112,3817473,8482820,0,20481,4096,20480
nettle-des,0,20000000,0,0,0.0234246491,1.17498,0.0234246491,1.17498,23499600,0.0199361554,0.0065474427,3.0449895531,nettle-des,19431433,0,118785,1122304,0,380928,2322433,9777156,0,32769,16384,28672
nettle-md5,0,20000000,0,0,0.0058926267,0.29318,0.0058926267,0.29318,5863600,0.0200990166,0.0066017910,3.0448796636,nettle-md5,4575241,0,94209,634880,0,188416,270337,2314244,0,12289,0,8192
nettle-sha256,0,20000000,0,0,0.0566716302,2.77002,0.0566716302,2.77002,55400400,0.0204589240,0.0067191782,3.0449181874,nettle-sha256,41385993,0,499713,10117120,0,2260992,618497,21078020,0,81921,28672,65536
