Bench,Mode,Frequency,Prefetch,Wait states,Energy,Duration,Energy (IT adjusted),Duration (IT adjusted),HW Cycles (IT adjusted),Avg power,Avg current,Avg voltage,Benchmark,Executed insns (no MULS),MULS insns,Taken branches,RAM data reads,RAM insn reads,RAM writes,Flash data reads,Flash insn reads,Flash writes,BL insns,BL word-aligned,PUSH/POP PC/LR
aha-compress,0,20000000,0,0,0.0897846,4.36670,0.081945,4.36670,87334000,0.0187659,0.00616262,2.96539,aha-compress,64561161,0,9052161,1646592,0,1650688,958465,36372484,0,303105,147456,299008
aha-mont64,0,20000000,0,0,0.111739,5.38785,0.1032,5.38785,107757000,0.0191542,0.0062959,2.96812,aha-mont64,77611017,1081344,4521985,13213696,0,6447104,49153,42037252,0,270337,151552,266240
bs,0,20000000,0,0,0.000577572,0.02595,0.000461432,0.02595,519000,0.0177816,0.00584773,2.96583,bs,274441,0,69633,49152,0,32768,4097,188420,0,12289,4096,8192
bubblesort,0,20000000,0,0,0.411973,20.05011,0.392918,20.05011,401002200,0.0195968,0.00644057,2.96774,bubblesort,274706441,0,22339585,41398272,0,40996864,12289,148529156,0,12289,4096,8192
cnt,0,20000000,0,0,0.0491079,2.42684,0.0441547,2.42684,48536800,0.0181944,0.00597591,2.96585,cnt,31150089,409600,5763073,1699840,0,1724416,847873,19755012,0,843777,8192,430080
compress,0,20000000,0,0,0.0320496,1.53466,0.0285321,1.53466,30693200,0.0185918,0.00610749,2.96631,compress,17022985,0,1925121,2707456,0,3993600,2740225,9568260,0,221185,8192,217088
cover,0,20000000,0,0,0.0204208,0.98287,0.017881,0.98287,19657400,0.0181927,0.00597369,2.96491,cover,12587017,0,2117633,729088,0,733184,688129,7708676,0,708609,499712,12288
crc,0,20000000,0,0,0.0116428,0.55419,0.0100578,0.55419,11083800,0.0181488,0.00596018,2.96538,crc,6705164,0,1400322,1105920,0,94721,370177,4568583,0,16641,4352,12288
crc32,0,20000000,0,0,0.472025,23.66257,0.45115,23.66257,473251400,0.019066,0.00626377,2.96664,crc32,264314889,25165824,25190401,50356224,0,46166016,20971521,151056388,0,8400897,8392704,8396800
ctl-stack,0,20000000,0,0,0.108391,5.53895,0.0995209,5.53895,110779000,0.0179675,0.00590124,2.9658,ctl-stack,55898254,1228800,11194391,17035286,0,10813462,921608,35246161,0,1802245,499716,913410
