Bench,Mode,Frequency,Prefetch,Wait states,Energy,Duration,Energy (IT adjusted),Duration (IT adjusted),HW Cycles (IT adjusted),Avg power,Avg current,Avg voltage,Benchmark,Executed insns (no MULS),MULS insns,Taken branches,RAM data reads,RAM insn reads,RAM writes,Flash data reads,Flash insn reads,Flash writes,BL insns,BL word-aligned,PUSH/POP PC/LR
lcdnum,0,48000000,1,0,0.0008252403,0.02000,0.0008252403,0.02000,960000,0.0412688996,0.0136117643,3.0351886100,lcdnum,528393,0,139265,65536,0,49152,8193,348164,0,28673,20480,4096
levenshtein,0,48000000,1,0,0.3830325379,9.40925,0.3830325379,9.40925,451644000,0.0407080839,0.0134154662,3.0344243486,levenshtein,252755977,10473472,42688513,65564672,0,18358272,11276289,164446212,0,8753153,307200,311296
ludcmp,0,48000000,1,0,0.1630522065,3.99045,0.1630522065,3.99045,191541600,0.0408606065,0.0134653996,3.0345133147,ludcmp,134098953,1810432,14602241,12636160,0,10211328,1400833,75030532,0,1441793,978944,1220608
matmult-float,0,48000000,1,0,1.4381745739,35.05296,1.4381745739,35.05296,1682542080,0.0410286235,0.0135212007,3.0344018843,matmult-float,1187909641,15319040,126152705,105320448,0,90230784,12967937,657473540,0,12259329,10608640,10665984
matmult-int,0,48000000,1,0,0.7971348182,18.97779,0.7971348182,18.97779,910933920,0.0420035574,0.0138448182,3.0338945516,matmult-int,532971529,36044800,68788225,142606336,0,47673344,6586369,311296004,0,6574081,1642496,3293184
mergesort,0,48000000,1,0,4.2830881361,101.66824,4.2830881361,101.66824,4880075520,0.0421280843,0.0138903846,3.0329175526,mergesort,3368980627,51609600,382791703,379736086,0,208285718,66043913,1863770195,0,36052997,23797764,16490498
minver,0,48000000,1,0,0.0803085571,1.95487,0.0803085571,1.95487,93833760,0.0410813477,0.0135449260,3.0330171194,minver,63896409,434159,8003052,6463580,0,5292074,669700,35850203,0,669694,225270,655350
nbody,0,48000000,1,0,24.7323800836,569.82365,24.7323800836,569.82365,2.73515e+10,0.0434035692,0.0143017424,3.0348494226,nbody,20852818620,476856236,1672875718,1104797638,0,1014243288,427855849,11588974760,0,119066601,69722097,82522112
ndes,0,48000000,1,0,0.2797036725,6.69067,0.2797036725,6.69067,321152160,0.0418050314,0.0137762449,3.0345913907,ndes,212787402,1179648,17350689,29978624,0,17199137,22016002,117424140,0,4042753,135168,139264
nettle-arcfour,0,48000000,1,0,0.1049882700,2.52191,0.1049882700,2.52191,121051680,0.0416304581,0.0137199690,3.0343283907,nettle-arcfour,74723337,0,13012993,9281536,0,7032832,2179073,41656324,0,2121729,12288,20480
nettle-cast128,0,48000000,1,0,0.0228997880,0.50782,0.0228997880,0.50782,2.43754e+07,0.0450943026,0.0148673238,3.0332763339,nettle-cast128,16830473,0,135169,2371584,0,1114112,3817473,8482820,0,20481,4096,20480
nettle-des,0,48000000,1,0,0.0213470990,0.48939,0.0213470990,0.48939,23490720,0.0436201077,0.0143781357,3.0339506889,nettle-des,19431433,0,118785,1122304,0,380928,2322433,9773060,0,32769,16384,28672
nettle-md5,0,48000000,1,0,0.0054069269,0.12211,0.0054069269,0.12211,5861280,0.0442791598,0.0145990711,3.0336464265,nettle-md5,4575241,0,94209,634880,0,188416,270337,2310148,0,12289,0,8192
nettle-sha256,0,48000000,1,0,0.0508534102,1.15376,0.0508534102,1.15376,5.53805e+07,0.0440763740,0.0145303733,3.0334760684,nettle-sha256,41385993,0,499713,10117120,0,2260992,618497,21057540,0,81921,28672,65536
newlib-exp,0,48000000,1,0,0.0673655962,1.59739,0.0673655962,1.59739,76674720,0.0421722037,0.0138982306,3.0344152846,newlib-exp,54738953,770048,5505025,4247552,0,4251648,802817,30392324,0,573441,339968,495616
