Bench,Mode,Frequency,Prefetch,Wait states,Energy,Duration,Energy (IT adjusted),Duration (IT adjusted),HW Cycles (IT adjusted),Avg power,Avg current,Avg voltage,Benchmark,Executed insns (no MULS),MULS insns,Taken branches,RAM data reads,RAM insn reads,RAM writes,Flash data reads,Flash insn reads,Flash writes,BL insns,BL word-aligned,PUSH/POP PC/LR
aha-compress,0,24000000,1,1,0.0892993,4.06888,0.0815771,4.06888,97653120,0.020049,0.00658505,2.96584,aha-compress,64561161,0,9052161,1646592,0,1650688,958465,36368388,0,303105,147456,299008
aha-mont64,0,24000000,1,1,0.111871,4.77216,0.103421,4.77216,1.14532e+08,0.0216717,0.00712444,2.96855,aha-mont64,77611017,1081344,4521985,13213696,0,6447104,49153,42037252,0,270337,151552,266240
bs,0,24000000,1,1,0.000650761,0.02622,0.000526416,0.02622,629280,0.0200743,0.00660477,2.96744,bs,274441,0,69633,49152,0,32768,4097,184324,0,12289,4096,8192
bubblesort,0,24000000,1,1,0.412538,17.65428,0.394165,17.65428,423702720,0.0223269,0.00734122,2.96912,bubblesort,274706441,0,22339585,41398272,0,40996864,12289,148123652,0,12289,4096,8192
cnt,0,24000000,1,1,0.0497384,2.29787,0.0448463,2.29787,55148880,0.0195165,0.00641209,2.96674,cnt,31150089,409600,5763073,1699840,0,1724416,847873,19382276,0,843777,8192,430080
compress,0,24000000,1,1,0.0359038,1.51213,0.0321302,1.51213,36291120,0.0212483,0.00698194,2.96706,compress,17022985,0,1925121,2707456,0,3993600,2740225,9474052,0,221185,8192,217088
cover,0,24000000,1,1,0.0218002,0.95687,0.0192386,0.95687,22964880,0.0201059,0.00660589,2.96672,cover,12587017,0,2117633,729088,0,733184,688129,7704580,0,708609,499712,12288
crc,0,24000000,1,1,0.0129023,0.56517,0.0112366,0.56517,1.35641e+07,0.0198819,0.00653275,2.96683,crc,6705164,0,1400322,1105920,0,94721,370177,4564486,0,16641,4352,12288
crc32,0,24000000,1,1,0.480267,21.63718,0.459715,21.63718,519292320,0.0212465,0.00698223,2.96753,crc32,264314889,25165824,25190401,50356224,0,46166016,20971521,151048196,0,8400897,8392704,8396800
ctl-stack,0,24000000,1,1,0.113335,5.25807,0.10437,5.25807,126193680,0.0198495,0.0065212,2.96662,ctl-stack,55898254,1228800,11194391,17035286,0,10813462,921608,35213393,0,1802245,499716,913410
ctl-string,0,24000000,1,1,0.134901,6.23344,0.124807,6.23344,149602560,0.0200221,0.00657798,2.96667,ctl-string,70168546,0,11198463,14180364,0,6053908,10334217,41742323,0,2818053,1425412,385026
ctl-vector,0,24000000,1,1,0.10621,4.70004,0.0977764,4.70004,1.12801e+08,0.0208033,0.00683597,2.96723,ctl-vector,47399059,1212416,9494551,15433750,0,12283926,946185,29884499,0,1613829,503812,929794
cubic,0,24000000,1,1,3.97069,196.19086,4.01472,196.19086,4708580640,0.0204633,0.00671614,2.96368,cubic,3295559689,89096192,262852609,169639936,0,168751104,85213185,1831096324,0,23031809,12754944,13832192
dijkstra,0,24000000,1,1,6.80343,348.71144,6.99946,348.71144,8369074560,0.0200724,0.00658017,2.96024,dijkstra,4006031341,70041600,462565375,912265228,0,521306132,525996040,2230505463,0,77832197,41660420,42438658
dtoa,0,24000000,1,1,0.0831773,3.56551,0.0748565,3.56551,85572240,0.0209946,0.00688293,2.9604,dtoa,52560520,1388556,5423162,5984362,0,5574782,1245213,29827448,0,675849,262147,479240
duff,0,24000000,1,1,0.005831,0.22919,0.00482727,0.22919,5500560,0.0210623,0.00690481,2.95974,duff,3006473,0,471041,200704,0,614400,20481,520196,0,16385,8192,8192
edn,0,24000000,1,1,0.314868,13.79818,0.295117,13.79818,331156320,0.0213881,0.00701229,2.96054,edn,175439881,27643904,17166337,53100544,0,10113024,864257,109805572,0,49153,20480,40960
expint,0,24000000,1,1,0.0519589,2.28488,0.0460269,2.28488,5.48371e+07,0.0201442,0.00660287,2.95984,expint,33714185,417792,6336513,1069056,0,262144,20481,21463044,0,831489,0,8192
fac,0,24000000,1,1,0.00360287,0.14336,0.00294348,0.14336,3.44064e+06,0.0205316,0.00673208,2.96009,fac,1646601,225280,471041,114688,0,73728,1,540676,0,53249,45056,4096
fasta,0,24000000,1,1,19.1726,1047.70941,20.1726,1047.70941,25145025840,0.019254,0.00632606,2.96688,fasta,17297687649,32768000,2166153381,590458646,0,590462976,262161064,9562379869,0,163946263,98307862,98402304
fdct,0,24000000,1,1,0.0143129,0.53950,0.0125232,0.53950,12948000,0.0232128,0.00762857,2.96737,fdct,7254025,802816,90113,1961984,0,1216512,724993,4083716,0,12289,0,8192
