Bench,Mode,Frequency,Prefetch,Wait states,Energy,Duration,Energy (IT adjusted),Duration (IT adjusted),HW Cycles (IT adjusted),Avg power,Avg current,Avg voltage,Benchmark,Executed insns (no MULS),MULS insns,Taken branches,RAM data reads,RAM insn reads,RAM writes,Flash data reads,Flash insn reads,Flash writes,BL insns,BL word-aligned,PUSH/POP PC/LR
aha-compress,0,24000000,0,1,0.1028406699,5.56143,0.1028406699,5.56143,1.33474e+08,0.0184917566,0.0060702735,3.0463111501,aha-compress,64561161,0,9052161,1646592,0,1650688,958465,36372484,0,303105,147456,299008
aha-mont64,0,24000000,0,1,0.1227687744,6.42254,0.1227687744,6.42254,154140960,0.0191152901,0.0062809635,3.0433980419,aha-mont64,77611017,1081344,4521985,13213696,0,6447104,49153,42037252,0,270337,151552,266240
bs,0,24000000,0,1,0.0005838317,0.03218,0.0005838317,0.03218,772320,0.0181408050,0.0059639932,3.0442495651,bs,274441,0,69633,49152,0,32768,4097,188420,0,12289,4096,8192
bubblesort,0,24000000,0,1,0.4695462652,23.81299,0.4695462652,23.81299,571511760,0.0197180686,0.0064801933,3.0428295443,bubblesort,274706441,0,22339585,41398272,0,40996864,12289,148529156,0,12289,4096,8192
cnt,0,24000000,0,1,0.0561880225,3.08425,0.0561880225,3.08425,74022000,0.0182177263,0.0059832813,3.0448263108,cnt,31150089,409600,5763073,1699840,0,1724416,847873,19755012,0,843777,8192,430080
compress,0,24000000,0,1,0.0351208606,1.86212,0.0351208606,1.86212,44690880,0.0188607196,0.0061941956,3.0449780588,compress,17022985,0,1925121,2707456,0,3993600,2740225,9568260,0,221185,8192,217088
cover,0,24000000,0,1,0.0226777454,1.24759,0.0226777454,1.24759,29942160,0.0181771935,0.0059695333,3.0450948296,cover,12587017,0,2117633,729088,0,733184,688129,7708676,0,708609,499712,12288
crc,0,24000000,0,1,0.0131668017,0.72492,0.0131668017,0.72492,17398080,0.0181630266,0.0059655952,3.0448281730,crc,6705164,0,1400322,1105920,0,94721,370177,4568583,0,16641,4352,12288
crc32,0,24000000,0,1,0.5434746677,27.91816,0.5434746677,27.91816,670035840,0.0194667101,0.0063961890,3.0434933919,crc32,264314889,25165824,25190401,50356224,0,46166016,20971521,151056388,0,8400897,8392704,8396800
ctl-stack,0,24000000,0,1,0.1198669522,6.53186,0.1198669522,6.53186,156764640,0.0183511209,0.0060266780,3.0449964081,ctl-stack,55898254,1228800,11194391,17035286,0,10813462,921608,35246161,0,1802245,499716,913410
ctl-string,0,24000000,0,1,0.1432601338,7.83895,0.1432601338,7.83895,188134800,0.0182754164,0.0060015815,3.0451170579,ctl-string,70168546,0,11198463,14180364,0,6053908,10334217,42029041,0,2818053,1425412,385026
ctl-vector,0,24000000,0,1,0.1066035570,5.74144,0.1066035570,5.74144,137794560,0.0185673794,0.0060989916,3.0443490774,ctl-vector,47399059,1212416,9494551,15433750,0,12283926,946185,29917267,0,1613829,503812,929794
cubic,0,24000000,0,1,5.1494313706,271.97363,5.1494313706,271.97363,6527367120,0.0189335687,0.0062140963,3.0468786509,cubic,3295559689,89096192,262852609,169639936,0,168751104,85213185,1831186436,0,23031809,12754944,13832192
dijkstra,0,24000000,0,1,7.9606822251,430.30556,7.9606822251,430.30556,10327333440,0.0185000681,0.0060644459,3.0505805371,dijkstra,4006031341,70041600,462565375,912265228,0,521306132,525996040,2315775991,0,77832197,41660420,42438658
dtoa,0,24000000,0,1,0.0917709665,4.77757,0.0917709665,4.77757,114661680,0.0192086991,0.0062955860,3.0511588163,dtoa,52560520,1388556,5423162,5984362,0,5574782,1245213,29913464,0,675849,262147,479240
duff,0,24000000,0,1,0.0055862895,0.29220,0.0055862895,0.29220,7012800,0.0191180348,0.0062656611,3.0517877061,duff,3006473,0,471041,200704,0,614400,20481,1736708,0,16385,8192,8192
edn,0,24000000,0,1,0.3555603480,17.85301,0.3555603480,17.85301,428472240,0.0199159925,0.0065277361,3.0509900531,edn,175439881,27643904,17166337,53100544,0,10113024,864257,109809668,0,49153,20480,40960
expint,0,24000000,0,1,0.0590141716,3.15907,0.0590141716,3.15907,75817680,0.0186808500,0.0061208966,3.0520063919,expint,33714185,417792,6336513,1069056,0,262144,20481,21463044,0,831489,0,8192
fac,0,24000000,0,1,0.0037148547,0.19564,0.0037148547,0.19564,4695360,0.0189878789,0.0062236939,3.0514194694,fac,1646601,225280,471041,114688,0,73728,1,1183748,0,53249,45056,4096
fasta,0,24000000,0,1,26.3696883423,1468.47191,26.3696883423,1468.47191,35243325840,0.0179572301,0.0058990540,3.0440895898,fasta,17297687649,32768000,2166153381,590458646,0,590462976,262161064,9595008605,0,163946263,98307862,98402304
fdct,0,24000000,0,1,0.0145289237,0.70895,0.0145289237,0.70895,17014800,0.0204936763,0.0067300349,3.0452474022,fdct,7254025,802816,90113,1961984,0,1216512,724993,4087812,0,12289,0,8192
