Bench,Mode,Frequency,Prefetch,Wait states,Energy,Duration,Energy (IT adjusted),Duration (IT adjusted),HW Cycles (IT adjusted),Avg power,Avg current,Avg voltage,Benchmark,Executed insns (no MULS),MULS insns,Taken branches,RAM data reads,RAM insn reads,RAM writes,Flash data reads,Flash insn reads,Flash writes,BL insns,BL word-aligned,PUSH/POP PC/LR
aha-compress,0,20000000,0,1,0.1079308217,6.67390,0.1079308217,6.67390,133478000,0.0161720759,0.0053075169,3.0470374915,aha-compress,64561161,0,9052161,1646592,0,1650688,958465,36372484,0,303105,147456,299008
aha-mont64,0,20000000,0,1,0.1285631555,7.70721,0.1285631555,7.70721,154144200,0.0166808873,0.0054798504,3.0440567417,aha-mont64,77611017,1081344,4521985,13213696,0,6447104,49153,42037252,0,270337,151552,266240
bs,0,20000000,0,1,0.0006085342,0.03863,0.0006085342,0.03863,772600,0.0157542504,0.0051771283,3.0459059246,bs,274441,0,69633,49152,0,32768,4097,188420,0,12289,4096,8192
bubblesort,0,20000000,0,1,0.4807033812,28.57916,0.4807033812,28.57916,571583200,0.0168200679,0.0055250675,3.0443247670,bubblesort,274706441,0,22339585,41398272,0,40996864,12289,148529156,0,12289,4096,8192
cnt,0,20000000,0,1,0.0585838900,3.70110,0.0585838900,3.70110,74022000,0.0158287638,0.0051970759,3.0457508487,cnt,31150089,409600,5763073,1699840,0,1724416,847873,19755012,0,843777,8192,430080
compress,0,20000000,0,1,0.0367801762,2.23456,0.0367801762,2.23456,44691200,0.0164596954,0.0054045665,3.0455837417,compress,17022985,0,1925121,2707456,0,3993600,2740225,9568260,0,221185,8192,217088
cover,0,20000000,0,1,0.0237187564,1.49721,0.0237187564,1.49721,29944200,0.0158419706,0.0051999895,3.0466143086,cover,12587017,0,2117633,729088,0,733184,688129,7708676,0,708609,499712,12288
crc,0,20000000,0,1,0.0136591348,0.86993,0.0136591348,0.86993,17398600,0.0157014188,0.0051547436,3.0462282772,crc,6705164,0,1400322,1105920,0,94721,370177,4568583,0,16641,4352,12288
crc32,0,20000000,0,1,0.5562746284,33.50316,0.5562746284,33.50316,670063200,0.0166036457,0.0054511297,3.0459153411,crc32,264314889,25165824,25190401,50356224,0,46166016,20971521,151056388,0,8400897,8392704,8396800
ctl-stack,0,20000000,0,1,0.1252051846,7.83836,0.1252051846,7.83836,156767200,0.0159733841,0.0052443957,3.0458166388,ctl-stack,55898254,1228800,11194391,17035286,0,10813462,921608,35246161,0,1802245,499716,913410
ctl-string,0,20000000,0,1,0.1496803604,9.40699,0.1496803604,9.40699,188139800,0.0159116047,0.0052235095,3.0461680748,ctl-string,70168546,0,11198463,14180364,0,6053908,10334217,42029041,0,2818053,1425412,385026
ctl-vector,0,20000000,0,1,0.1113078763,6.88904,0.1113078763,6.88904,137780800,0.0161572331,0.0053051198,3.0456141843,ctl-vector,47399059,1212416,9494551,15433750,0,12283926,946185,29917267,0,1613829,503812,929794
cubic,0,20000000,0,1,5.3547784775,326.37959,5.3547784775,326.37959,6527591800,0.0164065974,0.0053883316,3.0448438752,cubic,3295559689,89096192,262852609,169639936,0,168751104,85213185,1831186436,0,23031809,12754944,13832192
dijkstra,0,20000000,0,1,8.3158529856,516.40749,8.3158529856,516.40749,1.03281e+10,0.0161032768,0.0052785171,3.0507206507,dijkstra,4006031341,70041600,462565375,912265228,0,521306132,525996040,2315775991,0,77832197,41660420,42438658
dtoa,0,20000000,0,1,0.0948397802,5.73330,0.0948397802,5.73330,114666000,0.0165419081,0.0054190995,3.0525360630,dtoa,52560520,1388556,5423162,5984362,0,5574782,1245213,29913464,0,675849,262147,479240
duff,0,20000000,0,1,0.0056678534,0.35065,0.0056678534,0.35065,7013000,0.0161638506,0.0052948308,3.0530732071,duff,3006473,0,471041,200704,0,614400,20481,1736708,0,16385,8192,8192
edn,0,20000000,0,1,0.3614157247,21.42325,0.3614157247,21.42325,428465000,0.0168702582,0.0055271743,3.0522484142,edn,175439881,27643904,17166337,53100544,0,10113024,864257,109809668,0,49153,20480,40960
expint,0,20000000,0,1,0.0617951584,3.79122,0.0617951584,3.79122,75824400,0.0162995282,0.0053391433,3.0528649120,expint,33714185,417792,6336513,1069056,0,262144,20481,21463044,0,831489,0,8192
fac,0,20000000,0,1,0.0037353508,0.23481,0.0037353508,0.23481,4696200,0.0159079718,0.0052117737,3.0528878116,fac,1646601,225280,471041,114688,0,73728,1,1183748,0,53249,45056,4096
fasta,0,20000000,0,1,28.2873114844,1762.62503,28.2873114844,1762.62503,35252500600,0.0160483993,0.0052656891,3.0477264587,fasta,17297687649,32768000,2166153381,590458646,0,590462976,262161064,9595008605,0,163946263,98307862,98402304
fdct,0,20000000,0,1,0.0144274268,0.85081,0.0144274268,0.85081,17016200,0.0169572851,0.0055662086,3.0466741403,fdct,7254025,802816,90113,1961984,0,1216512,724993,4087812,0,12289,0,8192
fibcall,0,20000000,0,1,0.0020167197,0.13120,0.0020167197,0.13120,2624000,0.0153709494,0.0050451296,3.0475472063,fibcall,1130505,0,266241,16384,0,20480,1,655364,0,12289,0,8192
fir,0,20000000,0,1,2.6258611919,163.42320,2.6258611919,163.42320,3268464000,0.0160678606,0.0052733440,3.0469995986,fir,1273987081,99098624,227274753,14372864,0,5787648,198217729,801001476,0,2879489,2867200,8192
frac,0,20000000,0,1,1.4844141695,93.42338,1.4844141695,93.42338,1868467600,0.0158891073,0.0052148490,3.0469005629,frac,918777865,26689536,78462977,57311232,0,55025664,26746881,516280324,0,9691137,4030464,5738496
insertsort,0,20000000,0,1,0.0039446547,0.25031,0.0039446547,0.25031,5006200,0.0157588671,0.0051735865,3.0465638392,insertsort,2023433,0,274433,454656,0,430080,8193,1265668,0,8193,0,4096
janne_complex,0,20000000,0,1,0.0020059339,0.12892,0.0020059339,0.12892,2578400,0.0155595242,0.0051080282,3.0469547642,janne_complex,913417,16384,315393,16384,0,20480,16385,634884,0,12289,0,4096
jfdctint,0,20000000,0,1,0.0408421556,2.50033,0.0408421556,2.50033,50006600,0.0163347056,0.0053625722,3.0461240273,jfdctint,23126025,1048576,2387969,1298432,0,1400832,1032193,14008324,0,274433,0,12288
lcdnum,0,20000000,0,1,0.0011034412,0.07253,0.0011034412,0.07253,1450600,0.0152135801,0.0049952122,3.0468255411,lcdnum,528393,0,139265,65536,0,49152,8193,352260,0,28673,20480,4096
levenshtein,0,20000000,0,1,0.5177586648,33.11264,0.5177586648,33.11264,662252800,0.0156362865,0.0051329616,3.0462573085,levenshtein,252755977,10473472,42688513,65564672,0,18358272,11276289,165433348,0,8753153,307200,311296
ludcmp,0,20000000,0,1,0.2194736985,14.09750,0.2194736985,14.09750,281950000,0.0155682666,0.0051105183,3.0463368560,ludcmp,134098953,1810432,14602241,12636160,0,10211328,1400833,75034628,0,1441793,978944,1220608
matmult-float,0,20000000,0,1,1.9445846905,123.82211,1.9445846905,123.82211,2476442200,0.0157046645,0.0051553847,3.0462711795,matmult-float,1187909641,15319040,126152705,105320448,0,90230784,12967937,657477636,0,12259329,10608640,10665984
matmult-int,0,20000000,0,1,1.0649677776,64.61108,1.0649677776,64.61108,1292221600,0.0164827423,0.0054107978,3.0462847374,matmult-int,532971529,36044800,68788225,142606336,0,47673344,6586369,311300100,0,6574081,1642496,3293184
mergesort,0,20000000,0,1,5.7843553994,358.97695,5.7843553994,358.97695,7179539000,0.0161134449,0.0052904658,3.0457557026,mergesort,3368980627,51609600,382791703,379736086,0,208285718,66043913,1865756755,0,36052997,23797764,16490498
minver,0,20000000,0,1,0.1073850782,6.90130,0.1073850782,6.90130,138026000,0.0155601156,0.0051096694,3.0452525022,minver,63896409,434159,8003052,6463580,0,5292074,669700,36026331,0,669694,225270,655350
nbody,0,20000000,0,1,34.1577536064,2049.27078,34.1577536064,2049.27078,40985415600,0.0166682475,0.0054799033,3.0417044982,nbody,20852818620,476856236,1672875718,1104797638,0,1014243288,427855849,11588982952,0,119066601,69722097,82522112
ndes,0,20000000,0,1,0.3758166299,23.69184,0.3758166299,23.69184,473836800,0.0158627007,0.0052063379,3.0468188904,ndes,212787402,1179648,17350689,29978624,0,17199137,22016002,117424230,0,4042753,135168,139264
nettle-arcfour,0,20000000,0,1,0.1419207622,9.09790,0.1419207622,9.09790,1.81958e+08,0.0155992873,0.0051199588,3.0467796499,nettle-arcfour,74723337,0,13012993,9281536,0,7032832,2179073,47927300,0,2121729,12288,20480
